hex9,value
8919697b3cbffff,9594
89196ba664fffff,1012
8919696a343ffff,2177
8919696a647ffff,7519
89196969c77ffff,872
89196b141a7ffff,6168
89196baac5bffff,8371
89196978147ffff,4819
89196969367ffff,1750
8919682c96fffff,4010
89196978c5bffff,47
89196ba7407ffff,9059
89196979c93ffff,188
891fa4925d7ffff,8981
8919697b053ffff,5152
8919694c34fffff,3230
89196ba2a53ffff,7513
89196ba747bffff,5695
89196b365afffff,5941
89196b04dcbffff,9928
89196b8c96bffff,5713
89196ba4457ffff,4974
89196ba0bcfffff,7760
89196bb4a07ffff,4451
89196b94b33ffff,7317
89196948443ffff,1849
89196bbb26fffff,5226
891969683d7ffff,73
89196979d9bffff,3736
891969694bbffff,1737
89196b96887ffff,923
89196bb1047ffff,8213
89196b305d7ffff,6590
89196b86093ffff,2450
89196bb8db3ffff,7550
89196b16137ffff,8401
89196968607ffff,6112
89196b33527ffff,1469
89196bba6c3ffff,9371
89196958bc3ffff,7497
89196bb5a87ffff,9177
89196ba29dbffff,1031
891969490cbffff,5693
89196b3059bffff,7563
89196ba4547ffff,6206
89196b1436bffff,9008
89196ba028bffff,5212
89196bae2cbffff,83
8919694cc2bffff,2213
89196ba64abffff,4223
89196ba696bffff,2693
89196bbaa43ffff,4612
8919694182bffff,6955
89196ba1bb7ffff,1724
89196ba2567ffff,9989
89196941407ffff,4863
89196bb4617ffff,7965
89196958833ffff,1418
89196b8612fffff,819
89196ba406bffff,916
89196b04527ffff,5777
8919696340bffff,2858
89196968697ffff,4868
89196b160a7ffff,5407
89196bbad6bffff,4049
89196bba8cbffff,934
89196ba2633ffff,4085
89196bb509bffff,5016
89196baaa1bffff,3601
891969433c7ffff,994
8919694806fffff,1369
89196bb74bbffff,7027
8919694adcfffff,8599
89196b14ad7ffff,8152
89196ba0b93ffff,6482
89196941e67ffff,1332
8919694aa23ffff,2368
89196bb5247ffff,9362
89196962a4bffff,8443
89196ba2343ffff,8601
89196b15997ffff,1979
89196b300c7ffff,304
89196ba5d33ffff,5689
89196bac983ffff,7551
89196bb43abffff,687
89196bbb437ffff,5014
89196b32813ffff,4657
89196978c8bffff,4536
89196baf613ffff,9731
89196bb0dbbffff,5625
89196bb16bbffff,1576
8919696a10bffff,3824
891969496afffff,8168
89196baa0d3ffff,1032
89196b05bc3ffff,2332
89196ba66bbffff,9123
89196ba1e2fffff,9565
89196bae943ffff,2105
89196bb70cbffff,3881
89196ba2507ffff,3336
89196bada2bffff,3714
89196ba95a7ffff,9800
89196960393ffff,3760
89196942807ffff,8201
89196bb632fffff,6324
89196baa6b3ffff,129
89196bb9d47ffff,6460
89196ba038fffff,763
89196b969a3ffff,3955
89196ba9ecbffff,3338
8919694c373ffff,3521
89196bac9a7ffff,7209
89196b94313ffff,7686
89196bb4013ffff,2271
8919694f627ffff,1597
8919694eb53ffff,460
89196baa8abffff,3871
89196b16eb7ffff,216
89196b85e0bffff,2512
891fa4925a7ffff,4206
891fa496437ffff,1354
89196bbac63ffff,5404
89196bb2d7bffff,6978
8919696b63bffff,8161
89196b334a7ffff,3426
8919696a36bffff,2034
89196959543ffff,1005
891fa492d83ffff,7902
8919694a287ffff,7413
89196ba060bffff,3275
89196bb4d2fffff,7496
8919697a82fffff,7005
89196ba8d9bffff,3628
89196b14a4fffff,9440
8919682c937ffff,8823
89196958b37ffff,8576
89196bb366fffff,97
89196959093ffff,8573
89196b16333ffff,6150
89196bb4e2bffff,7257
89196ba8377ffff,3828
89196ba4e63ffff,5068
89196bb648fffff,9145
8919697b023ffff,9728
89196baf1a3ffff,3240
89196baf567ffff,9154
89196bb68cbffff,5764
8919694c0c7ffff,3962
89196b0446fffff,3257
89196b86dcfffff,2231
891969428bbffff,9467
89196bb5e8bffff,731
8919696b257ffff,1862
89196b94187ffff,1068
89196bb6c8bffff,4023
89196baf513ffff,8844
8919697b337ffff,6924
89196978acfffff,8990
89196badb77ffff,5543
8919694b38bffff,5652
89196bb6363ffff,968
89196b855abffff,9298
89196948493ffff,4642
89196bb53dbffff,5767
89196bb658fffff,5166
89196ba4c1bffff,8901
89196ba4513ffff,1577
89196948257ffff,59
89196b86e37ffff,6423
89196b96b43ffff,4047
89196941a63ffff,2630
8919694a07bffff,3151
89196b32e33ffff,7977
8919694026bffff,6629
89196ba6c43ffff,4301
89196bb4333ffff,9296
89196ba8bd7ffff,101
89196b85857ffff,1182
89196bb4d23ffff,959
89196b33027ffff,8112
8919694f1cfffff,9533
8919697ab23ffff,2159
89196ba298fffff,1199
8919696a0c3ffff,6966
89196968387ffff,3527
89196ba2aafffff,6895
89196940a53ffff,3568
89196bae82fffff,6652
8919696a3b3ffff,2443
89196baf133ffff,2300
891fa496513ffff,5848
89196948d7bffff,787
8919694c077ffff,2568
8919696825bffff,369
89196b069b7ffff,6986
89196941e47ffff,9360
89196b155bbffff,1361
89196ba530fffff,9947
89196959343ffff,5365
89196bb5603ffff,1699
8919694e587ffff,28
89196b9698fffff,6453
89196baf177ffff,5033
89196bbb3c7ffff,655
89196bad193ffff,415
8919696a62fffff,5467
89196940a63ffff,2157
89196bba16fffff,2801
89196bb810fffff,6652
89196b366cbffff,5358
89196ba0657ffff,5100
89196bb9c4bffff,3910
89196940163ffff,5883
89196bb6317ffff,1354
89196ba1d97ffff,2457
89196b042cfffff,4639
89196bae02fffff,5409
8919694d573ffff,9334
89196ba0e1bffff,8431
89196b30497ffff,8733
89196bb0973ffff,1730
891969416d3ffff,571
89196979973ffff,6582
89196b3250bffff,9134
8919695941bffff,3276
89196b1696fffff,7477
89196bae50bffff,6559
8919697b14fffff,605
8919694cb43ffff,4028
89196ba8e4fffff,9595
89196ba5057ffff,2802
8919694a6abffff,340
89196bb2d7bffff,4611
8919697886bffff,6361
89196bb06afffff,2003
89196bb2877ffff,3801
89196ba5c03ffff,1649
89196b866afffff,8881
89196b96957ffff,3188
89196bb83dbffff,3443
89196bb9883ffff,2492
89196bab5a3ffff,2105
89196b86aa3ffff,4987
89196ba8ecbffff,9573
89196ba4027ffff,4736
89196bae46bffff,8806
89196b04217ffff,1828
89196baf137ffff,6283
89196979563ffff,2216
89196bb8c37ffff,7652
89196ba7527ffff,3422
89196948c2fffff,2794
89196bad673ffff,5678
8919696ad43ffff,7795
89196b32cbbffff,6209
89196ba2e9bffff,4138
89196ba102bffff,463
89196ba4687ffff,1597
89196bb2a2bffff,4073
89196ba1463ffff,4393
89196968117ffff,8346
89196bb6b77ffff,548
89196961517ffff,6333
89196b33133ffff,189
89196940c0fffff,4064
89196bb235bffff,3605
89196ba1e53ffff,1109
8919694f4b7ffff,9736
89196bb89cbffff,8059
89196b05943ffff,8636
89196ba8163ffff,9561
89196b84b4bffff,957
89196b1654fffff,6049
89196b968bbffff,5884
8919694e643ffff,5305
89196ba9c77ffff,7075
89196ba085bffff,4641
89196978873ffff,8276
89196ba7653ffff,8965
891969589afffff,9550
8919694c02fffff,3482
89196b365cbffff,1094
89196ba5683ffff,7384
8919696a183ffff,1761
8919694ab87ffff,3741
89196ba306bffff,2000
89196ba43cbffff,6582
89196bb203bffff,2741
89196bba86bffff,2840
89196b96697ffff,7316
89196bb5a4fffff,888
8919697a923ffff,5865
89196b8edabffff,7877
8919694d4bbffff,2112
89196b96cb7ffff,567
891969611abffff,9210
89196b32a07ffff,1902
8919694f3a7ffff,3288
8919694ae03ffff,7345
89196ba967bffff,4388
89196bb6ccbffff,3123
8919696b5b3ffff,8883
89196ba9237ffff,3358
89196badb03ffff,6781
8919694f4c7ffff,7365
89196978837ffff,8779
89196b059bbffff,6989
89196bb2dd7ffff,8168
8919694de67ffff,3433
89196b86d53ffff,6777
8919697aab7ffff,6432
8919694a1b3ffff,3742
89196ba5c23ffff,7474
89196baa943ffff,6209
89196badb53ffff,1122
89196b965a3ffff,2845
89196b86e4bffff,1612
8919697938fffff,5681
89196b06c0bffff,4251
89196baf18fffff,9109
89196948513ffff,1541
89196bb8117ffff,8677
89196baa3cfffff,1340
8919694e0b3ffff,727
89196ba9aabffff,9435
89196959397ffff,6191
89196bb0e3bffff,7534
8919694cc2fffff,563
89196bae517ffff,1149
89196ba71cfffff,386
8919694b40fffff,9070
89196bb0977ffff,7579
89196bb699bffff,2726
89196bb752bffff,7402
8919696a8abffff,2928
89196bb05a7ffff,6264
89196bb8123ffff,2219
89196b325dbffff,7202
89196969dcfffff,6433
89196ba6d87ffff,2211
89196bb90cbffff,7288
89196969a2bffff,7715
89196bbab6bffff,1507
89196b962abffff,3431
89196ba503bffff,5964
89196b96057ffff,1254
89196b8484bffff,7144
89196b963afffff,4631
891969684b7ffff,7004
89196978a6bffff,448
89196968223ffff,6836
8919697895bffff,2866
89196ba61d3ffff,7752
89196ba92a3ffff,4155
89196ba6893ffff,4172
89196bb007bffff,6951
89196b8582bffff,2911
89196ba368bffff,9284
89196959447ffff,2661
89196948263ffff,7128
89196b9650bffff,4157
8919697aa03ffff,8080
89196b329dbffff,9876
89196961493ffff,5128
8919694a08bffff,993
89196962a43ffff,6550
89196ba6a77ffff,3685
89196bba24fffff,5144
89196948983ffff,122
89196b86417ffff,6268
89196bae13bffff,6226
891969452cbffff,9501
8919696b6d7ffff,5654
8919697a823ffff,2345
8919696906bffff,6831
89196b14007ffff,3953
89196b04273ffff,214
8919694d9c7ffff,7241
8919697b39bffff,7929
89196bb527bffff,3534
89196ba7567ffff,8347
89196bb0557ffff,1595
8919694e32fffff,7877
89196bba9c3ffff,2169
89196bada53ffff,552
89196b94ac3ffff,7213
89196bae60bffff,6962
89196bb19bbffff,78
89196979a0fffff,4980
89196ba2e6bffff,9012
89196b95913ffff,2737
8919696b543ffff,6573
89196b06d07ffff,5830
8919694e963ffff,7109
89196940bbbffff,4854
89196ba64b3ffff,1664
8919696068bffff,2708
89196ba627bffff,8350
89196bb8113ffff,6075
89196bb7397ffff,8685
89196b14607ffff,4125
89196bb8b03ffff,8134
891969789c3ffff,9877
8919694c36fffff,4011
89196bacb07ffff,2371
8919694c527ffff,318
89196b94967ffff,829
89196941203ffff,7557
89196bb2957ffff,462
89196940a83ffff,2649
89196bb94a7ffff,313
89196bb7213ffff,5606
89196b14cd3ffff,3981
89196ba8c5bffff,4058
89196ba02bbffff,9255
89196bab333ffff,1096
89196baf543ffff,2316
8919697ab67ffff,4534
89196959293ffff,4603
89196ba19d3ffff,1433
8919697b467ffff,6418
89196bb494fffff,6068
89196979b87ffff,413
89196ba8ad3ffff,9725
89196b84347ffff,8970
89196979d9bffff,4549
8919696144bffff,1711
89196b330dbffff,1682
89196bae9a7ffff,7517
89196bac26bffff,5683
89196b1440fffff,1432
89196bb0257ffff,7353
8919694ddc7ffff,4393
8919694c207ffff,2509
8919694117bffff,4943
89196b16073ffff,7679
89196ba4067ffff,9432
89196b95d13ffff,8802
89196b069bbffff,3105
8919694d21bffff,9532
89196bb0173ffff,3971
89196bad247ffff,3554
8919696129bffff,8738
89196bac8b3ffff,2960
