hex9,value
8919682cbc3ffff,601
89196bb3463ffff,9704
8919694cb17ffff,1121
89196ba76d3ffff,4359
89196bba833ffff,8988
89196bb843bffff,2288
89196969b07ffff,4120
8919696ad03ffff,8043
89196963483ffff,7048
89196b84403ffff,8928
89196969ab3ffff,3208
89196ba812fffff,5962
8919694e2a3ffff,2509
8919696a893ffff,2599
89196b15d33ffff,481
89196bb70d3ffff,9648
89196ba8827ffff,9764
89196b05937ffff,670
89196b85a5bffff,2252
8919694e01bffff,8403
8919694c52fffff,4979
89196b858dbffff,4899
89196bb8813ffff,1965
8919694ee6bffff,5944
89196bb92abffff,6725
89196ba088bffff,6353
8919694517bffff,1781
89196ba0babffff,1306
8919694d06fffff,2996
8919694da5bffff,150
8919694d693ffff,2642
89196bb5cc3ffff,5760
89196ba6393ffff,964
89196bad61bffff,5378
89196ba6b4bffff,7139
89196ba8897ffff,5267
89196ba0b7bffff,47
89196b86c17ffff,2170
89196940c47ffff,3454
89196943343ffff,3052
89196978117ffff,6365
89196979c83ffff,1129
89196bb4e57ffff,6541
8919694034bffff,3293
8919694eacbffff,9770
89196b069a7ffff,1249
89196b948b3ffff,9477
89196ba0d47ffff,3114
89196bb1563ffff,5850
8919694dbbbffff,9685
89196ba2353ffff,4752
89196bb8c77ffff,4014
89196969dcbffff,3002
89196bac00fffff,152
89196b14a23ffff,9035
89196baacc3ffff,6428
89196bb04a7ffff,9008
89196940aa7ffff,2835
8919694a36fffff,704
89196bb48d7ffff,2358
89196ba914bffff,5161
89196bb9903ffff,8702
8919695942bffff,5148
89196bb8d5bffff,457
8919694e60fffff,1270
89196b14e0bffff,8737
89196bb1293ffff,6160
8919695917bffff,2841
89196b360cfffff,8419
89196b86e9bffff,334
89196ba714fffff,7189
89196978b63ffff,9412
89196bb51dbffff,7265
89196b36673ffff,8485
89196ba3633ffff,3876
89196ba35afffff,8050
89196ba0d97ffff,7993
8919696a3cbffff,6268
8919694e69bffff,2172
89196940b47ffff,2570
8919696955bffff,3236
89196bb0da3ffff,181
89196ba1467ffff,8941
891fa496c97ffff,1055
8919694ce77ffff,7481
8919694058bffff,9132
89196bb9c3bffff,8662
89196bb5947ffff,6659
89196ba964fffff,145
89196bb3227ffff,4625
8919696945bffff,6061
89196bb52d3ffff,6215
89196b84dc3ffff,314
89196b860c3ffff,4303
89196bb5577ffff,8582
89196bb24d7ffff,4326
89196ba198bffff,6406
89196969b7bffff,6821
89196ba6053ffff,9041
8919695933bffff,1043
8919697b223ffff,60
89196b84e23ffff,2958
89196b334afffff,7147
89196b3268fffff,5915
89196ba11c3ffff,4566
89196949a93ffff,1238
89196b36483ffff,6761
8919696827bffff,8459
89196bb4493ffff,3209
8919694a82bffff,8131
89196bb51c7ffff,5322
8919694e8b7ffff,9147
89196b95dc7ffff,8814
89196b32993ffff,826
89196bb42d3ffff,9123
89196bad16fffff,9135
89196b3651bffff,234
89196bb62a7ffff,2277
89196b0690fffff,7899
89196bace07ffff,9320
89196958b43ffff,4967
89196ba756bffff,8559
8919694b6dbffff,3853
8919696346fffff,6719
89196ba6303ffff,5990
8919694dcabffff,1534
89196949827ffff,5167
8919694b0c7ffff,3558
89196bbb42fffff,4233
89196bad34bffff,8165
8919696ac0bffff,1780
8919696b1c3ffff,6926
89196ba1863ffff,5341
8919696832fffff,1658
89196ba741bffff,4357
89196bac527ffff,3331
89196b05c43ffff,2999
8919694a623ffff,7746
89196bb5a0fffff,4857
89196940c8fffff,820
89196bb65dbffff,5950
89196bac837ffff,6576
89196bb6bb3ffff,6356
89196badb13ffff,3707
8919694f153ffff,5935
8919694066bffff,6368
89196bb5607ffff,3267
89196bba243ffff,5539
891fa496407ffff,5569
89196b33533ffff,4312
89196baa6cfffff,8604
89196baa97bffff,7244
89196bb593bffff,7472
89196962073ffff,5935
89196978a2fffff,4660
89196941933ffff,5781
89196b94387ffff,4116
8919696a0a3ffff,755
8919694d303ffff,7987
89196baf237ffff,6392
8919697b68bffff,7465
89196959adbffff,6283
89196ba4a4bffff,9493
89196979e4bffff,6900
89196b1716bffff,5324
89196b15c07ffff,8351
89196ba5b07ffff,4428
89196959e43ffff,7958
89196969dabffff,9041
89196bb63a3ffff,4047
89196bb5b83ffff,6519
89196b05b2bffff,8269
89196bb6553ffff,8283
89196bb1123ffff,5971
8919694c143ffff,5902
891969685b3ffff,7287
8919696330bffff,9397
89196bb69b7ffff,3856
89196ba6a6fffff,4008
89196961067ffff,6463
89196b14e1bffff,4257
89196b94b63ffff,5470
89196badc07ffff,9288
8919694f62bffff,54
89196bb4d6fffff,4112
89196bb6bc3ffff,4076
89196b04aa3ffff,3300
89196b9408fffff,526
8919694da0fffff,1609
89196bb41b3ffff,7030
89196ba120fffff,4183
89196bba8b3ffff,1995
89196ba6d1bffff,1380
89196b32eb7ffff,125
891969419c7ffff,6783
89196bb0e53ffff,1653
8919682c94fffff,6355
8919696aa8fffff,969
89196bb4397ffff,4353
89196bba633ffff,6177
8919682d927ffff,9478
89196ba5e23ffff,5089
8919697b213ffff,3626
89196bb8973ffff,2145
89196ba0e4bffff,4679
89196ba6a47ffff,2124
89196978547ffff,1065
89196bb626fffff,6549
8919694b4d7ffff,9799
89196b86873ffff,2200
89196b965c3ffff,9658
89196bb0d67ffff,7568
89196b14dafffff,3755
89196ba5b33ffff,1063
89196963657ffff,4158
89196b14e9bffff,2136
891fa4960c7ffff,3631
89196948e0bffff,3750
89196b32d73ffff,44
89196b868b7ffff,9783
89196bb0b23ffff,8526
8919682ca8fffff,2846
89196ba4907ffff,4207
89196942807ffff,1478
89196963533ffff,6930
89196bb42a3ffff,6935
8919694cd9bffff,1757
8919694510bffff,6784
891969410d7ffff,1651
89196949ddbffff,3539
89196b32457ffff,2084
89196ba90dbffff,9144
89196bb2247ffff,8746
89196bbaa17ffff,3587
891969413dbffff,1689
89196b1695bffff,4936
89196b3345bffff,4797
89196b1698bffff,2764
89196baa593ffff,2876
89196bbb437ffff,909
89196b0481bffff,9972
89196bba873ffff,7285
8919682ca23ffff,5678
89196bac563ffff,6869
89196b14d03ffff,6751
89196b86353ffff,3380
89196bb565bffff,7692
8919696999bffff,2081
89196b8c98fffff,2279
89196bab20fffff,1916
8919694c4b3ffff,4592
89196bb6c53ffff,1897
89196b9680bffff,846
89196ba1153ffff,8822
8919696b2cbffff,9125
89196bbab5bffff,5358
89196bb2a13ffff,8857
89196ba4c6fffff,6667
89196ba9433ffff,8475
8919694c6abffff,1179
89196ba8867ffff,3928
89196ba6397ffff,56
89196bae02fffff,6817
89196bb9acfffff,8712
89196ba9ec7ffff,1081
891969635dbffff,5030
891fa49340fffff,8181
89196bab167ffff,9516
8919696b577ffff,3933
89196b86c3bffff,9766
89196ba8e23ffff,6510
8919694c2c7ffff,9897
89196bbb0afffff,2068
89196ba613bffff,443
89196b0693bffff,3407
89196bb56c3ffff,3074
89196bae3cbffff,1908
89196bb212bffff,7126
89196b32c5bffff,9987
89196baa0cfffff,3308
891969790cfffff,8864
89196baf14fffff,3429
89196bb122fffff,9501
89196b86353ffff,4280
89196b32c4fffff,1132
89196baa67bffff,7771
89196ba0a2fffff,1495
89196ba0d43ffff,7389
89196ba9e8bffff,1153
8919694f407ffff,3509
89196b3298fffff,4603
89196ba9ca3ffff,8097
89196bb5c4fffff,348
89196ba0c67ffff,2546
8919694aed7ffff,4073
89196bab10fffff,9174
89196bb6317ffff,2221
89196bb0d4bffff,7602
89196bb2acbffff,1821
89196ba420bffff,3475
89196ba6497ffff,3148
89196bab38bffff,493
891969412d3ffff,3281
89196bb432fffff,4063
89196ba13d3ffff,197
89196b85d43ffff,7987
8919694b5a3ffff,4223
89196bb2b1bffff,3923
89196baaea3ffff,4438
89196969587ffff,7968
89196b861a3ffff,2052
8919694cb93ffff,6519
89196b33023ffff,2636
8919694cb03ffff,7282
8919694b12bffff,747
89196bb5263ffff,3985
89196b040d3ffff,2681
89196ba0d27ffff,736
89196b84927ffff,4553
8919697a267ffff,6610
8919694eb7bffff,1795
89196949613ffff,7673
89196940687ffff,7722
89196ba492bffff,4726
89196948d8fffff,5720
89196ba311bffff,3815
89196bb934bffff,4897
8919696ae27ffff,8282
89196b9639bffff,3263
8919696364fffff,2474
89196bb0177ffff,5751
891969791b3ffff,930
89196b06dc3ffff,9022
89196948eafffff,2544
89196968a4bffff,9117
89196ba403bffff,9033
891969623d7ffff,9037
89196bb19cbffff,1151
89196b304afffff,7635
89196b948b3ffff,747
89196ba960fffff,4193
89196ba8803ffff,1652
89196b843b3ffff,5807
89196958d23ffff,1722
89196ba8b47ffff,5281
89196958803ffff,4705
89196b86c13ffff,3635
89196bba63bffff,9861
89196bb8dd7ffff,1298
89196ba116bffff,166
89196b14557ffff,6802
89196978d6bffff,7922
89196b36427ffff,384
89196bb9543ffff,184
891fa496293ffff,8570
8919694ed97ffff,6262
8919694dcafffff,1949
89196ba9b6bffff,7119
891fa49346bffff,8719
89196bb7667ffff,4276
89196948a2fffff,7048
89196bbaa6bffff,3364
8919694924bffff,7959
89196badec3ffff,5373
89196b17197ffff,4964
8919694d507ffff,9784
89196ba4833ffff,2992
89196978513ffff,4888
89196ba841bffff,613
89196ba1913ffff,9058
89196bab603ffff,7648
89196bb3253ffff,569
89196ba9ea3ffff,7653
89196969037ffff,9619
89196b16c6fffff,1422
89196969297ffff,3309
89196bb8933ffff,5518
89196bab44fffff,8984
89196bb744bffff,6577
89196b159b7ffff,6413
89196b9408fffff,7825
89196bb15c7ffff,8649
8919695901bffff,2782
89196bbb133ffff,7154
8919696834fffff,9252
89196baab4bffff,5253
89196b375b7ffff,8945
89196968017ffff,8725
89196b32ea7ffff,1539
89196baf6cfffff,9973
89196bbb623ffff,4706
89196baeb37ffff,6742
89196940353ffff,8724
89196ba706bffff,5907
89196942a47ffff,6471
89196962ad7ffff,5002
8919694ce5bffff,9946
89196941c57ffff,7446
89196969443ffff,8485
89196b06993ffff,4778
89196b044bbffff,4560
89196963143ffff,6540
89196b85bc7ffff,7332
89196b8710bffff,2207
89196b85ab3ffff,3660
8919696159bffff,2518
891969613d3ffff,6418
89196ba26b7ffff,3024
8919696818bffff,6523
89196ba600fffff,2925
89196960453ffff,6769
89196b85b53ffff,6689
89196b866c7ffff,2962
89196bb6547ffff,5158
89196b94aa7ffff,1414
89196ba1157ffff,4420
89196ba2e3bffff,4647
891fa4965abffff,5581
8919696267bffff,1230
8919694ebdbffff,1431
8919694560bffff,3429
89196ba9873ffff,9577
89196961367ffff,253
89196b84c87ffff,4706
89196b360abffff,5472
