hex9,value
89196969ac7ffff,20
89196969ac7ffff,5
891fa496013ffff,5
891fa4960bbffff,5
891fa4965dbffff,5
891fa4965d3ffff,5
89196ba692fffff,10
89196ba692fffff,5
89196ba6923ffff,15
89196ba6923ffff,5
89196969e27ffff,5
89196969e23ffff,75
89196969e23ffff,65
89196969e23ffff,30
891fa496037ffff,10
891fa4960afffff,5
891fa4960afffff,5
891fa4961dbffff,10
891fa4960afffff,5
891fa4965abffff,5
89196969a6fffff,5
89196969acfffff,5
89196969acfffff,10
89196969acfffff,15
89196969ac7ffff,15
89196969e6bffff,5
89196969367ffff,40
89196969377ffff,15
891fa4960afffff,5
891fa4961dbffff,15
891fa4960a7ffff,25
891fa4960b7ffff,10
891fa49657bffff,15
891fa49657bffff,15
891fa49657bffff,10
89196ba69a7ffff,50
89196ba69a7ffff,10
89196ba69b7ffff,5
89196969ac7ffff,10
89196969a8bffff,10
89196969ac7ffff,5
89196969a8bffff,10
89196969ad7ffff,15
89196969ad7ffff,30
89196969ad3ffff,15
89196969ad3ffff,30
89196969e6bffff,25
89196ba6987ffff,5
89196ba6d03ffff,55
89196ba6d1bffff,70
89196ba6d13ffff,30
89196ba6d13ffff,60
89196ba6dc7ffff,80
89196ba6dc7ffff,45
89196ba6dc7ffff,80
89196ba6dc7ffff,40
89196ba6dc7ffff,45
89196ba6d53ffff,105
89196ba6d53ffff,145
89196ba6d53ffff,120
89196ba6dcfffff,20
89196ba6dcfffff,30
89196ba6dcfffff,15
89196ba6d1bffff,10
89196ba6d5bffff,35
89196ba6d53ffff,75
89196ba6d53ffff,85
89196ba6d53ffff,35
89196ba6dcfffff,150
89196ba6dcfffff,95
89196ba6dcfffff,25
89196ba6dcfffff,55
89196ba6dc7ffff,115
89196ba6c27ffff,60
89196ba6c27ffff,75
89196ba6d53ffff,50
89196ba6dcbffff,45
89196ba6dcbffff,40
89196ba6dcfffff,30
89196ba6dcfffff,30
89196ba6dcfffff,75
89196ba6dc7ffff,95
89196ba6c27ffff,90
89196ba6c27ffff,100
89196ba6dcbffff,35
89196ba6dcbffff,70
89196ba6dcbffff,30
89196ba6dcbffff,15
89196ba6dc3ffff,55
89196ba6dc3ffff,40
89196ba6dc7ffff,55
89196ba6c27ffff,65
89196ba6c27ffff,85
89196ba6dcbffff,110
89196ba6dcbffff,50
89196ba6dcbffff,25
89196ba6dcbffff,15
891969698cbffff,15
89196969a83ffff,10
89196969a83ffff,10
89196969a93ffff,10
89196969a97ffff,10
89196969e2bffff,40
89196969e23ffff,65
89196969e23ffff,130
89196969e23ffff,10
89196969e3bffff,90
89196969e23ffff,115
89196969e23ffff,100
89196969e23ffff,15
89196969e3bffff,60
89196969e3bffff,80
89196969e33ffff,130
89196969e33ffff,35
89196969e37ffff,90
89196969e3bffff,10
89196969e33ffff,105
89196969e33ffff,35
89196969eafffff,45
89196969e07ffff,15
89196969e33ffff,20
89196969eafffff,20
89196969e2bffff,15
89196969e3bffff,40
89196969e73ffff,5
89196969ec7ffff,15
89196969ec7ffff,15
89196969ed7ffff,65
89196969ec3ffff,65
89196969ec3ffff,45
89196969ec3ffff,25
89196969edbffff,50
89196969eabffff,55
89196969eabffff,25
89196969eabffff,35
89196969ebbffff,85
89196969ebbffff,100
89196969ebbffff,60
89196969e13ffff,20
89196969e13ffff,30
89196969e8fffff,65
89196969ec7ffff,55
89196969c4bffff,80
89196969c4bffff,60
89196969c4bffff,45
89196969c4bffff,65
89196969e83ffff,20
89196969e87ffff,110
89196969e87ffff,65
89196969c4bffff,95
89196969c4bffff,85
89196969c4bffff,70
89196969e8bffff,40
89196969ec7ffff,50
89196969e8bffff,90
89196969e8bffff,60
89196969e8bffff,10
89196969ec7ffff,60
89196969e8bffff,80
89196969e8bffff,50
89196969e8bffff,20
89196969ed7ffff,55
89196969c5bffff,35
89196969e93ffff,15
89196969e97ffff,50
89196969c5bffff,30
89196969c5bffff,55
89196969c5bffff,45
8919696912fffff,95
8919696912fffff,60
8919696912fffff,30
89196969c5bffff,40
89196969ed7ffff,50
89196969e8bffff,45
89196969e9bffff,15
89196969e9bffff,15
89196969e93ffff,20
89196969e9bffff,80
89196969e93ffff,80
8919696916fffff,25
89196969e9bffff,65
89196969167ffff,90
89196969ed3ffff,195
89196969ed3ffff,20
891969693a7ffff,35
89196969ed3ffff,125
89196969ed3ffff,145
891969693a7ffff,95
891969693a7ffff,110
8919696916bffff,100
8919696916bffff,105
89196969c87ffff,5
89196969c87ffff,10
89196969cb3ffff,5
8919696834bffff,15
8919696834bffff,5
8919696834bffff,10
89196969897ffff,5
89196969897ffff,5
89196969c33ffff,5
89196969c13ffff,5
89196969c13ffff,15
89196969c13ffff,25
89196969c8fffff,15
89196969c13ffff,45
89196969c8bffff,45
891969698dbffff,100
891969698dbffff,110
891969698dbffff,50
89196969e37ffff,70
891969698dbffff,105
891969698dbffff,95
891969698dbffff,80
891969698dbffff,75
891969698d3ffff,45
891969698d3ffff,20
89196969eafffff,110
89196969eafffff,95
891969698dbffff,90
891969698dbffff,120
891969698d3ffff,65
891969698d3ffff,95
891969698d3ffff,25
89196969eafffff,75
89196969eafffff,85
89196969eafffff,100
891969698d3ffff,105
89196969c6fffff,40
89196969c6fffff,15
891969698d3ffff,115
89196969c6fffff,65
89196969c6fffff,75
89196969c6fffff,75
89196969c67ffff,25
89196969c67ffff,5
89196969c6bffff,110
89196969ea7ffff,135
89196969ea7ffff,100
891969698d3ffff,45
89196969eafffff,85
89196969eafffff,130
89196969ea7ffff,95
89196969ea7ffff,65
89196969ea7ffff,45
89196969c6bffff,75
89196969eafffff,100
89196969c6bffff,70
89196969c6fffff,115
89196969c63ffff,85
89196969c67ffff,125
89196969c67ffff,40
89196969c67ffff,70
89196969c6bffff,115
89196969c6bffff,90
